eventId,userId,attended
1,101,1
1,102,0
1,103,1
2,101,0
2,104,1
3,102,1
3,105,0
4,103,1
4,101,1
4,105,0
5,104,1
5,103,1
6,105,0
6,102,1
7,101,1
7,103,1
8,104,0
8,101,1
9,103,1
9,105,0
10,102,1
10,103,0
10,104,1
11,105,1
11,101,1
11,103,0
12,102,1
12,105,1
12,104,0
13,101,1
13,102,0
13,103,1
14,104,1
14,101,0
15,105,1
15,102,1
15,101,1
16,104,1
16,105,1
16,103,0
17,101,1
17,102,0
18,103,1
18,104,1
19,105,1
19,101,0
20,102,1
20,103,1
20,104,0
21,105,1
21,101,1
22,102,1
22,103,0
23,104,1
23,105,1
24,101,1
24,103,1
25,102,1
25,104,0
26,101,1
26,105,1
27,103,0
27,104,1
28,101,1
28,102,0
29,103,1
29,105,1
30,102,1
30,104,0
